municipio,uf,ng
Vera Cruz do Oeste,PR,22
Vera Mendes,PI,8
Veranópolis,RS,16
Verdejante,PE,6
Verdelândia,MG,10
Verê,PR,20
Vereda,BA,6
Veredinha,MG,8
Veríssimo,MG,16
Vermelho Novo,MG,10
Vertente do Lério,PE,2
Vertentes,PE,4
Vespasiano,MG,12
Vespasiano Corrêa,RS,18
Viadutos,RS,16
Viamão,RS,12
Viana,MA,18
Viana,ES,6
Vianópolis,GO,14
Vicência,PE,2
Vicente Dutra,RS,22
Vicentina,MS,22
Vicentinópolis,GO,16
Viçosa,RN,6
Viçosa,AL,2
Viçosa,MG,12
Viçosa do Ceará,CE,10
Victor Graef,RS,16
Vidal Ramos,SC,18
Videira,SC,18
Vieiras,MG,12
Vieirópolis,PB,6
Vigia,PA,16
Trindade,MT,18
Vila Boa,GO,14
Vila Flor,RN,2
Vila Flores,RS,16
Vila Lângaro,RS,18
Vila Maria,RS,20
Vila Nova do Piauí,PI,6
Vila Nova do Sul,RS,18
Vila Nova dos Martírios,MA,14
Vila Pavão,ES,12
Vila Propício,GO,18
Vila Rica,MT,22
Vila Valério,ES,8
Vila Velha,ES,6
Vilhena,RO,16
Vinhedo,SP,16
Viradouro,SP,14
Virgem da Lapa,MG,8
Virgínia,MG,14
Virginópolis,MG,16
Virgolândia,MG,12
Virmond,PR,20
Visconde do Rio Branco,MG,14
Viseu,PA,16
Vista Alegre,RS,22
Vista Alegre do Alto,SP,16
Vista Alegre do Prata,RS,18
Vista Gaúcha,RS,22
Vista Serrana,PB,10
Vitor Meireles,SC,16
Vitória,ES,6
Vitória Brasil,SP,12
Vitória da Conquista,BA,4
Vitória das Missões,RS,24
Vitória de Santo Antão,PE,2
Vitória do Jari,AP,12
Vitória do Mearim,MA,16
Vitória do Xingu,PA,12
Vitorino,PR,18
Vitorino Freire,MA,16
Volta Grande,MG,18
Volta Redonda,RJ,30
Votorantim,SP,16
Votuporanga,SP,14
Wagner,BA,4
Wall Ferraz,PI,12
Wanderlândia,TO,16
Wanderley,BA,14
Wenceslau Braz,MG,14
Wenceslau Braz,PR,12
Wenceslau Guimarães,BA,2
Westfália,RS,16
Witmarsum,SC,16
Xambioá,TO,16
Xambrê,PR,24
Xangri-lá,RS,14
Xanxerê,SC,18
Xapuri,AC,12
Xavantina,SC,18
Xaxim,SC,20
Xexéu,PE,2
Xinguara,PA,18
Xique-Xique,BA,10
Zabelê,PB,4
Zacarias,SP,10
Zé Doca,MA,12
Zortéa,SC,14
